feature_id,module_id,label,gender,help_tip,is_required,is_range_bar,field,config_type,place_type,order_no,allow_custom,status,created_at,updated_at
46,9,"{""en"": ""Shoes"", ""es"": ""Zapatos""}",1,"{""en"": """", ""es"": """"}",0,0,2,0,0,0,0,0,2017-12-08 18:47:20.0,2017-12-08 18:47:20.0
47,8,"{""en"": ""Bust"", ""es"": ""Pecho""}",2,"{""en"": """", ""es"": """"}",0,0,2,0,0,2,0,0,2017-12-08 18:55:39.0,2017-12-08 18:56:42.0
48,10,"{""en"": ""Model Type"", ""es"": ""Tipo de modelo""}",0,"{""en"": ""You can select one or more type of model"", ""es"": ""Puedes seleccionar uno o más tipos de modelaje""}",0,0,3,0,0,0,0,0,2017-12-08 19:44:24.0,2017-12-13 15:36:17.0
49,10,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": ""Select one or more specialties where you want apply "", ""es"": ""Seleccione una o más especialidades donde desee aplicar""}",0,0,3,0,0,0,0,0,2017-12-08 19:48:19.0,2018-09-10 18:49:29.0
50,11,"{""en"": ""Voice Tone or Tessitura"", ""es"": ""Tono o Tesitura de Voz""}",0,"{""en"": ""Select your voice tone"", ""es"": ""Seleccione su tono de voz""}",0,0,2,0,0,2,0,0,2018-01-14 21:32:17.0,2018-09-18 15:11:20.0
51,12,"{""en"": ""Availability to Travel"", ""es"": ""Disponibilidad a Viajar""}",0,"{""en"": """", ""es"": """"}",0,0,4,0,0,3,0,0,2018-01-18 20:47:14.0,2018-04-19 20:27:37.0
52,11,"{""en"": ""Accent"", ""es"": ""Acento""}",0,"{""en"": ""Select the accent you have or can imitate"", ""es"": ""Seleccione los acentos que tiene o puede imitar.""}",0,0,3,0,0,1,0,0,2018-02-01 19:06:08.0,2018-10-30 16:07:59.0
53,13,"{""en"": ""Unique Traits"", ""es"": ""Rasgos Únicos""}",0,"{""en"": ""Select the unique traits you have."", ""es"": ""Seleccione los rasgos únicos que posee.""}",0,0,3,0,0,0,0,0,2018-02-01 19:48:11.0,2018-09-10 16:38:21.0
54,12,"{""en"": ""Valid Passport / Visa"", ""es"": ""Pasaporte / Visa Vigente""}",0,"{""en"": """", ""es"": """"}",0,0,4,0,0,2,0,0,2018-02-01 19:53:20.0,2018-04-19 20:27:37.0
55,14,"{""en"": ""Equipment used"", ""es"": ""Equipo utilizado""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,1,0,0,2018-02-01 20:19:57.0,2018-09-13 19:14:14.0
56,15,"{""en"": ""Music Genre"", ""es"": ""Género Musical""}",0,"{""en"": null, ""es"": null}",0,0,10,0,0,0,1,0,2018-03-14 14:25:56.0,2020-10-05 19:41:48.0
57,16,"{""en"": ""Stage Name / Alias"", ""es"": ""Alias / Nombre Artístico""}",0,"{""en"": ""Pseudonym, nickname or alias."", ""es"": ""Seudónimo, apodo o alias""}",0,0,1,0,0,0,0,0,2018-04-11 19:25:43.0,2018-04-12 19:35:28.0
58,16,"{""en"": ""Years Active"", ""es"": ""Años de Actividad""}",0,"{""en"": """", ""es"": """"}",0,0,8,0,0,0,0,0,2018-04-11 19:42:57.0,2018-09-21 18:02:23.0
59,16,"{""en"": ""Affiliations"", ""es"": ""Asociación""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,0,0,0,2018-04-11 19:45:35.0,2018-04-11 20:03:53.0
60,15,"{""en"": ""Musical Repertoire"", ""es"": ""Repertorio Musical""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,0,0,0,2018-04-11 20:15:03.0,2018-04-11 20:15:03.0
61,15,"{""en"": ""Experience in"", ""es"": ""Experiencia en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-04-11 20:25:13.0,2018-09-11 15:42:33.0
62,17,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-04-11 20:40:15.0,2018-04-20 16:51:30.0
63,18,"{""en"": ""Awards"", ""es"": ""Premios y Reconocimientos""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,3,0,0,2018-04-11 20:42:04.0,2018-04-12 14:46:34.0
64,18,"{""en"": ""What to spect from us?"", ""es"": ""¿Qué esperar de nosotros?""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,2,0,0,2018-04-11 20:43:24.0,2018-04-12 14:46:34.0
65,17,"{""en"": ""Type of coverage"", ""es"": ""Tipo de cobertura""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-04-11 20:44:06.0,2018-04-20 16:54:51.0
66,17,"{""en"": ""Extra Info"", ""es"": ""Info extra""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,0,0,0,2018-04-11 20:54:16.0,2018-04-20 16:55:40.0
68,12,"{""en"": ""Awards"", ""es"": ""Premios y Reconocimientos""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,1,0,0,2018-04-11 20:55:46.0,2018-04-19 20:27:37.0
69,12,"{""en"": ""What can you spect from me?"", ""es"": ""¿Qué puede esperar de mí?""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,4,0,0,2018-04-11 20:56:16.0,2018-04-19 20:27:37.0
70,18,"{""en"": ""Products & Services"", ""es"": ""Productos y Servicios""}",0,"{""en"": ""Describe what are the products and/or services offered by your business"", ""es"": ""Describa cuales son los productos y/o servicios que ofrece""}",0,0,5,0,0,1,0,0,2018-04-12 14:44:26.0,2018-04-12 14:46:34.0
71,2,"{""en"": ""Hair Type"", ""es"": ""Tipo de Cabello""}",0,"{""en"": ""What's your hair type?"", ""es"": ""¿Qué tipo de cabello tienes?""}",0,0,2,0,0,6,0,0,2018-04-19 19:43:32.0,2018-04-19 20:06:53.0
72,2,"{""en"": ""Hair Length"", ""es"": ""Longitud del Cabello""}",0,"{""en"": ""What length of hair do you have?"", ""es"": ""¿Qué longitud de cabello tienes?""}",0,0,2,0,0,7,0,0,2018-04-19 20:03:25.0,2018-04-19 20:08:12.0
73,19,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-04-20 15:29:57.0,2018-04-20 16:46:58.0
74,19,"{""en"": ""Type"", ""es"": ""Tipo""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-04-20 15:54:57.0,2018-04-20 15:58:44.0
75,19,"{""en"": ""Extra Info"", ""es"": ""Extra Info""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,0,0,0,2018-04-20 16:30:27.0,2018-04-20 16:30:27.0
78,14,"{""en"": ""Extra Info"", ""es"": ""Info Extra""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,2,0,0,2018-04-20 17:13:25.0,2018-04-20 17:15:11.0
79,20,"{""en"": ""Preproduction"", ""es"": ""Preproducción""}",0,"{""en"": ""Choose in which pre-production process you have experience."", ""es"": ""Elija en que proceso de pre-producción tiene experiencia.""}",0,0,3,0,0,0,0,0,2018-04-20 19:03:19.0,2018-09-13 14:57:07.0
80,20,"{""en"": ""Production"", ""es"": ""Producción""}",0,"{""en"": ""Choose in which production process you have experience."", ""es"": ""Elija en que proceso de producción tiene experiencia.""}",0,0,3,0,0,0,0,0,2018-04-20 19:05:37.0,2018-09-13 14:52:49.0
82,20,"{""en"": ""Postproduction"", ""es"": ""Post-producción""}",0,"{""en"": ""Choose in which post-production process you have experience."", ""es"": ""Elija en que proceso de post-producción tiene experiencia.""}",0,0,3,0,0,0,0,0,2018-04-20 19:07:44.0,2018-09-13 14:46:08.0
83,21,"{""en"": ""Type of Exercises"", ""es"": ""Tipo de Ejercicios""}",0,"{""en"": ""Choose the types of exercises you have experience in. "", ""es"": ""Seleccione los tipos de ejercicios en los que tiene experiencia. ""}",0,0,10,0,0,0,1,0,2018-04-25 20:28:09.0,2018-09-27 15:53:01.0
84,22,"{""en"": ""Knowledge"", ""es"": ""Conocimientos""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-08 19:34:09.0,2018-06-11 19:45:31.0
90,23,"{""en"": ""Do you belong to an agency?"", ""es"": ""¿Pertenece a una agencia?""}",0,"{""en"": """", ""es"": """"}",0,0,4,0,0,0,0,0,2018-06-11 18:42:04.0,2018-06-11 18:44:15.0
91,23,"{""en"": ""Agency"", ""es"": ""Agencia""}",0,"{""en"": ""Mention the name of the agency you belong to. "", ""es"": ""Mencione el nombre de la agencia a la que pertenece. ""}",0,0,5,0,0,0,0,0,2018-06-11 18:42:28.0,2018-06-11 18:43:00.0
92,16,"{""en"": ""Courses and Workshops"", ""es"": ""Cursos y Talleres""}",0,"{""en"": ""Mention any courses or workshops you've done related to this area."", ""es"": ""Mencione los cursos o talleres que ha realizado y el lugar donde los realizó.""}",0,0,5,0,0,0,0,0,2018-06-11 19:10:37.0,2018-06-11 19:12:17.0
93,16,"{""en"": ""Previous Experience"", ""es"": ""Experiencia Previa""}",0,"{""en"": """", ""es"": """"}",0,0,5,0,0,0,0,0,2018-06-11 19:11:03.0,2018-06-11 19:12:37.0
94,6,"{""en"": ""Dress"", ""es"": ""Vestido""}",2,"{""en"": """", ""es"": """"}",0,0,2,7,0,0,0,0,2018-06-11 19:29:07.0,2018-06-11 19:29:07.0
95,6,"{""en"": ""Sostén"", ""es"": ""Bra""}",2,"{""en"": """", ""es"": """"}",0,0,2,0,0,0,0,0,2018-06-11 19:35:49.0,2018-06-11 19:36:05.0
96,22,"{""en"": ""Specialties"", ""es"": ""Especialidades""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 19:47:19.0,2018-06-11 19:48:12.0
97,24,"{""en"": ""Work Style"", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Work styles where you have the most experience."", ""es"": ""Forma de trabajo en la que tiene experiencia.""}",0,0,3,0,0,0,0,0,2018-06-11 19:54:51.0,2018-09-10 17:07:51.0
98,24,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 19:59:45.0,2018-09-10 18:06:13.0
99,25,"{""en"": ""Experience in"", ""es"": ""Experiencia en""}",0,"{""en"": ""Choose the work style or styles where you have the most experience. "", ""es"": ""Seleccione la forma de trabajo en la que tiene experiencia.""}",0,0,3,0,0,0,0,0,2018-06-11 20:04:30.0,2018-06-22 20:01:34.0
100,25,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 20:06:46.0,2018-09-10 18:07:20.0
101,25,"{""en"": ""Types of Beards"", ""es"": ""Tipos de Barbas""}",0,"{""en"": ""Choose the type or types of beard cuts you dominate. "", ""es"": ""Seleccione el o los cortes de barba que domina.""}",0,0,3,0,0,0,0,0,2018-06-11 20:09:37.0,2018-06-11 20:11:58.0
102,26,"{""en"": ""Experience in"", ""es"": ""Experiencia en""}",0,"{""en"": ""Choose the work style where you have the most experience."", ""es"": ""Seleccione la forma de trabajo en la que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 20:19:05.0,2018-06-22 20:05:37.0
103,26,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 20:21:32.0,2018-09-10 18:08:33.0
104,27,"{""en"": ""Work Style "", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Choose the work style where you have the most experience. "", ""es"": ""Seleccione la forma de trabajo en la que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 20:37:13.0,2018-06-11 20:41:52.0
105,27,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 20:38:33.0,2018-09-10 18:10:53.0
106,27,"{""en"": ""Equipment Used"", ""es"": ""Equipo que utiliza""}",0,"{""en"": ""Mention the equipment of this area that you tend to use or know how to use. "", ""es"": ""Mencione los equipos de esteticismo que sabe utilizar.""}",0,0,10,0,0,0,1,0,2018-06-11 20:40:12.0,2018-06-26 18:31:27.0
107,27,"{""en"": ""Equipment Owned"", ""es"": ""Equipos que posee""}",0,"{""en"": ""Mention the equipment of this area that you own. "", ""es"": ""Mencione los equipos de esteticismo que posee. ""}",0,0,10,0,0,0,1,0,2018-06-11 20:40:21.0,2018-06-26 18:31:20.0
108,28,"{""en"": ""Work Style"", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Choose the work style or styles where you have the most experience. "", ""es"": ""Seleccione las formas de trabajo en las que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 20:47:36.0,2018-06-11 20:51:46.0
109,28,"{""en"": ""Types of dyes"", ""es"": ""Tipos de tintados""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 20:48:57.0,2018-09-10 17:52:09.0
111,29,"{""en"": ""Experience in"", ""es"": ""Experiencia en""}",0,"{""en"": ""Choose the work styles where you have the most experience. "", ""es"": ""Seleccione las formas de trabajo en las que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 21:04:50.0,2018-06-22 20:06:26.0
112,29,"{""en"": ""Types of makeup"", ""es"": ""Tipos de maquillaje""}",0,"{""en"": ""Choose the types of makeup you specialize in. "", ""es"": ""Seleccione los tipos de maquillaje en los que se especializa. ""}",0,0,3,0,0,0,0,0,2018-06-11 21:07:55.0,2018-06-11 21:10:58.0
113,29,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,4,0,0,0,0,0,2018-06-11 21:08:23.0,2018-09-10 18:13:57.0
114,30,"{""en"": ""Work Style"", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Choose the work styles where you have the most experience."", ""es"": ""Seleccione las formas de trabajo en las que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 21:20:53.0,2018-06-11 21:30:46.0
115,30,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 21:22:34.0,2018-09-10 18:15:51.0
116,30,"{""en"": ""Equipment Used"", ""es"": ""Equipos que utiliza""}",0,"{""en"": ""Mention the equipment of this area that you tend to use or know how to use. "", ""es"": ""Mencione los equipos de esta área que sabe utilizar. ""}",0,0,10,0,0,0,1,0,2018-06-11 21:23:47.0,2018-06-26 18:27:12.0
117,30,"{""en"": ""Equipment Owned"", ""es"": ""Equipos que posee""}",0,"{""en"": ""Mention the equipment of this area that you own. "", ""es"": ""Mencione los equipos de esta área que posee. ""}",0,0,10,0,0,0,1,0,2018-06-11 21:24:59.0,2018-06-26 18:27:11.0
118,31,"{""en"": ""Work Style"", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Choose the work styles where you have the most experience."", ""es"": ""Seleccione las formas de trabajo en las que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-11 21:33:14.0,2018-06-11 21:38:38.0
119,31,"{""en"": ""Technique"", ""es"": ""Técnica""}",0,"{""en"": ""Choose the hair removal techniques you specialize in. "", ""es"": ""Seleccione las técnicas de depilación que utiliza. ""}",0,0,3,0,0,0,0,0,2018-06-11 21:34:24.0,2018-06-11 21:38:00.0
120,31,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 21:35:54.0,2018-09-10 18:04:56.0
121,32,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-11 21:42:06.0,2018-09-10 18:17:19.0
122,32,"{""en"": ""Equipment Used"", ""es"": ""Equipos que utiliza""}",0,"{""en"": ""Mention the equipment of this area that you tend to use or know how to use. "", ""es"": ""Mencione los equipos de esta área que sabe utilizar. ""}",0,0,10,0,0,0,1,0,2018-06-11 21:43:22.0,2018-06-26 18:25:12.0
123,33,"{""en"": ""Bags and Purses"", ""es"": ""Bolsos y Carteras""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:42:26.0,2018-06-12 16:53:08.0
124,33,"{""en"": ""Footwear"", ""es"": ""Calzado""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:43:47.0,2018-06-12 16:52:19.0
125,33,"{""en"": ""Hats and Caps "", ""es"": ""Sombreros y Gorras""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:44:50.0,2018-06-12 16:50:23.0
126,33,"{""en"": ""Glasses "", ""es"": ""Lentes ""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:45:17.0,2018-06-12 16:46:52.0
127,33,"{""en"": ""Specialty"", ""es"": ""Especialidades""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:45:44.0,2018-06-12 16:46:22.0
128,34,"{""en"": ""Specialty"", ""es"": ""Especialidades""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 16:59:53.0,2018-06-12 17:05:14.0
129,34,"{""en"": ""Type"", ""es"": ""Tipo""}",0,"{""en"": ""Choose the type of clothes you design. "", ""es"": ""Seleccione los tipos de ropa que diseña. ""}",0,0,3,0,0,0,0,0,2018-06-12 17:02:38.0,2018-06-12 17:04:53.0
130,35,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": ""Choose the types of jewelry you design. "", ""es"": ""Seleccione el tipo de joyería en el que se especializa. ""}",0,0,3,0,0,0,0,0,2018-06-12 17:08:08.0,2018-09-10 18:44:49.0
131,35,"{""en"": ""Materials Used "", ""es"": ""Materiales Utilizados""}",0,"{""en"": ""Choose the types of materials you tend to use when designing jewelry."", ""es"": ""Seleccione los materiales que tiende a utilizar en el diseño de joyería. ""}",0,0,3,0,0,0,0,0,2018-06-12 17:09:47.0,2018-06-12 17:10:50.0
132,36,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 17:17:14.0,2018-09-10 18:34:16.0
133,37,"{""en"": ""Types of Stitching"", ""es"": ""Tipos de Costuras ""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 17:22:04.0,2018-06-12 17:27:57.0
134,37,"{""en"": ""Type of Clothing"", ""es"": ""Tipo de Vestuario""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 17:24:46.0,2018-06-12 17:26:34.0
135,37,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 17:25:06.0,2018-09-10 18:46:17.0
136,38,"{""en"": ""Work Style"", ""es"": ""Forma de Trabajo""}",0,"{""en"": ""Choose the work styles where you have the most experience. "", ""es"": ""Seleccione las formas de trabajo en las que tiene más experiencia. ""}",0,0,3,0,0,0,0,0,2018-06-12 17:32:18.0,2018-06-12 17:34:18.0
137,38,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 17:32:49.0,2018-09-10 19:04:46.0
138,39,"{""en"": ""Types of Event "", ""es"": ""Tipos de Eventos""}",0,"{""en"": ""Mention the types of events you specialize in. "", ""es"": ""Mencioe los tipos de eventos en los que se especializa. ""}",0,0,10,0,0,0,1,0,2018-06-12 17:37:29.0,2018-06-21 17:39:39.0
139,39,"{""en"": ""Number of guests"", ""es"": ""Cantidad de invitados""}",0,"{""en"": ""Choose the approximate amount of guests at your events. "", ""es"": ""Seleccione la cantidad aproximada de invitados en sus eventos. ""}",0,0,2,0,0,0,0,0,2018-06-12 17:39:14.0,2018-06-12 17:39:43.0
140,40,"{""en"": ""Products type"", ""es"": ""Tipos de productos""}",0,"{""en"": ""Mention the products you style. "", ""es"": ""Mencione los productos que estiliza. ""}",0,0,10,0,0,0,1,0,2018-06-12 17:49:08.0,2018-09-10 19:06:15.0
141,41,"{""en"": ""Type of style"", ""es"": ""Tipo de estilistmo""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 18:40:28.0,2018-09-10 18:59:42.0
142,42,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:04:05.0,2018-09-10 19:01:51.0
143,42,"{""en"": ""Type of style"", ""es"": ""Tipo de estilismo""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:04:34.0,2018-09-10 19:01:34.0
144,44,"{""en"": ""Specialties"", ""es"": ""Especialidades""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:18:01.0,2018-06-12 19:19:27.0
145,41,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:24:27.0,2018-09-10 18:58:06.0
149,46,"{""en"": ""Speciality on"", ""es"": ""Especialidad en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:37:36.0,2018-09-10 19:09:10.0
150,46,"{""en"": ""Type"", ""es"": ""Tipo ""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-12 19:38:33.0,2018-06-12 19:39:28.0
151,15,"{""en"": ""Artist Collaborations"", ""es"": ""Colaboración con Artistas""}",0,"{""en"": ""If any, mention the artists you have collaborated with while working in this area."", ""es"": ""Si aplica, mencione los artistas con los que ha colaborado en esta área.""}",0,0,5,0,0,0,0,0,2018-06-13 16:46:56.0,2018-06-13 16:47:40.0
152,47,"{""en"": ""Programs you dominate"", ""es"": ""Programas que sabe utilizar""}",0,"{""en"": ""Mention the programs and softwares you know how to use."", ""es"": ""Mencione los programas y softwares que domina. ""}",0,0,10,0,0,0,1,0,2018-06-13 16:50:53.0,2018-06-14 14:07:46.0
154,48,"{""en"": ""Artists Represented "", ""es"": ""Artistas Representados""}",0,"{""en"": ""Mention the artists you have represented and/or currently represent. "", ""es"": ""Mencione los artistas que ha representado y/o representa actualmente.""}",0,0,5,0,0,0,0,0,2018-06-13 17:01:49.0,2018-09-11 15:33:47.0
155,48,"{""en"": ""Recording Labels Represented"", ""es"": ""Sellos Discográficos Representados""}",0,"{""en"": ""Mention the record labels you have represented and/or currently represent."", ""es"": ""Mencione las compañías discográficas que ha representado y/o representa actualmente. ""}",0,0,5,0,0,0,0,0,2018-06-13 17:02:17.0,2018-09-11 15:36:05.0
156,49,"{""en"": ""Experience in"", ""es"": ""Experiencia en""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-13 17:29:01.0,2018-09-11 15:41:19.0
157,50,"{""en"": ""Type"", ""es"": ""Tipo""}",0,"{""en"": """", ""es"": """"}",0,0,4,0,0,0,0,0,2018-06-13 17:36:57.0,2018-06-13 17:37:54.0
158,51,"{""en"": ""Trombone Played"", ""es"": ""Trombón que Toca""}",0,"{""en"": ""Choose the type or types of trombone you know how to play. "", ""es"": ""Seleccione el tipo o tipos de trombón que sabe tocar. ""}",0,0,3,0,0,0,0,0,2018-06-13 17:45:59.0,2018-09-11 17:18:48.0
160,51,"{""en"": ""Instrument Owned"", ""es"": ""Instrumento que Posee""}",0,"{""en"": ""Choose the type or types of trombone you own. "", ""es"": ""Seleccione el tipo o tipos de trombón que posee.  ""}",0,0,3,0,0,0,0,0,2018-06-13 17:47:33.0,2018-06-13 17:48:16.0
163,53,"{""en"": ""Type"", ""es"": ""Tipo""}",0,"{""en"": """", ""es"": """"}",0,0,3,0,0,0,0,0,2018-06-13 18:02:53.0,2018-06-13 18:03:40.0
164,54,"{""en"": ""Guitar Played"", ""es"": ""Tipo de Guitarra""}",0,"{""en"": ""Choose the type or types of guitar that you know how to play. "", ""es"": ""Seleccione el tipo o tipos de guitarra que sabe tocar. ""}",0,0,3,0,0,0,0,0,2018-06-13 18:06:39.0,2018-09-11 17:16:16.0
165,54,"{""en"": ""Type of Guitar Owned"", ""es"": ""Tipo de Guitarra que Posee""}",0,"{""en"": ""Choose the type or types of guitar that you own. "", ""es"": ""Seleccione el tipo o tipos de guitarra que posee. ""}",0,0,3,0,0,0,0,0,2018-06-13 18:08:14.0,2018-06-13 18:08:41.0
166,55,"{""en"": ""Violin Played"", ""es"": ""Violín que Toca""}",0,"{""en"": ""Choose the type or types of violin that you know how to play. "", ""es"": ""Seleccione el tipo o tipos de violín que sabe tocar. ""}",0,0,3,0,0,0,0,0,2018-06-13 18:12:21.0,2018-09-11 17:15:59.0
167,55,"{""en"": ""Type of Violin Owned"", ""es"": ""Tipo de Violín que Posee""}",0,"{""en"": ""Choose the type or types of violin that you own. "", ""es"": ""Seleccione el tipo o tipos de violín que posee. ""}",0,0,3,0,0,0,0,0,2018-06-13 18:13:21.0,2018-06-13 18:13:49.0
